Particle,Surface_Chemistry,Zeta ,Diameter ,Diffusion_constant,alpha,Ratio_Diffusion ,Temperature,pH,Dosing Medium,D_w,Salt_type,Salt_Concentration,Mucus_Type,Muc_Con,Purification,MUC2_EL,MUC5AC_EL,MUC5B_EL,MUC6_EL,MUC19_EL,Dominate_Mucin
h lysozyme,Antibody,,3.5,104.85,,0.75,298,,PBS,139.81,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Horse myoglobin,Antibody,,3.8,108.17,,0.84,298,,PBS,128.77,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Chicken lysozmye,Antibody,,4.1,131.28,,1.1,298,,PBS,119.35,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Porcine pepsin,Antibody,,4.5,106.56,,0.98,298,,PBS,108.74,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgM Fab_μ,Antibody,,6,76.66,,0.94,298,,PBS,81.55,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Cholera toxin B subunit,Antibody,,5.4,61.62,,0.68,298,,PBS,90.62,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h α-amylase,Antibody,,5.5,80.07,,0.9,298,,PBS,88.97,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h lactoferrin,Antibody,,6.1,69.98,,0.86,298,,PBS,80.22,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgG,Antibody,,11,38.7,,0.87,298,,PBS,44.48,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgG  [test time dif.],Antibody,,11,48.93,,1.1,298,,PBS,44.48,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgA,Antibody,,11,25.8,,0.58,298,,PBS,44.48,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgA [test time dif.],Antibody,,11,48.93,,1.1,298,,PBS,44.48,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgM Fc_5μ,Antibody,,11,18.24,,0.41,298,,PBS,44.48,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
horse ferritin,Antibody,,12,35.88,,0.88,298,,PBS,40.78,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Cationized horse ferritin,Antibody,,12,29.77,,0.73,298,,PBS,40.78,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgM,Antibody,,16,15.56,,0.51,298,,PBS,30.58,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h IgM [test time dif.],Antibody,,16,10.09,,0.33,298,,PBS,30.58,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
h sIgA aggregates,Antibody,,18,6.52,,0.24,298,,PBS,27.18,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Norwalk VLP,Virus,,38,14.16,,1.1,298,,PBS,12.877,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
HPV VLP,Virus,,55,9.77,,1.1,298,,PBS,8.9,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
HPV VLP [test time dif.],Virus,,55,11.56,,1.3,298,,PBS,8.9,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
HSV [MIP experiments only],Virus,,180,0.0242,,0.0089,298,,PBS,2.718,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
COOH-Polystrene,COOH,-41,109.2,0.00013,0.16,0.000023,310,,,6.0215,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Diamine-PEG-Polystrene,PEG,-4.4,122.4,0.00246,0.31,0.00046,310,,,5.3639,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
COOH-Polystrene,COOH,-58.8,216.6,0.00127,0.36,0.00042,310,,,3.039,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Diamine-PEG-Polystrene,PEG,-2.1,232.3,0.45,0.81,0.16,310,,,2.86,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
COOH-Polystrene,COOH,-61,515,0.00028,0.43,0.00022,310,,,1.2748,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Diamine-PEG-Polystrene,PEG,-5.6,529.1,0.31021,0.89,0.25,310,,,1.2408,,,Human cervical mucus,,Native,Below cutoff,Below cutoff,Low,Below cutoff,Below cutoff,MUC5B
Negative Charged Polyelectrolyte [Polyelectroylte Particles were fromm Chitosan and Polysacrylic Acid] (NCP) 5:1 (PAA:Chitosan Mass Ratio),CHITOSAN,-29.1,104,0.000163,,0.0000258,310,6.5,,6.311,,,Pig porcine ileum intestinal mucus,,Purified ,Medium,Below cutoff,,Below cutoff,Below cutoff,MUC2
NCP 4:1,CHITOSAN,-30.6,149,0.000366,,0.0000831,310,6.5,,4.405,,,Pig porcine ileum intestinal mucus,,Purified ,Medium,Below cutoff,,Below cutoff,Below cutoff,MUC2
