"Human_cervix","Hydrogel","Pig_stomach","Human_lung","Pig_intestines"
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
310,NA,NA,NA,NA
310,NA,NA,NA,NA
310,NA,NA,NA,NA
310,NA,NA,NA,NA
310,NA,NA,NA,NA
310,NA,NA,NA,NA
298,NA,NA,NA,NA
298,NA,NA,NA,NA
NA,310,NA,NA,NA
NA,310,NA,NA,NA
NA,310,NA,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,295,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,310,NA,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,310,NA
NA,NA,NA,298,NA
NA,NA,NA,298,NA
NA,NA,NA,298,NA
NA,NA,NA,298,NA
NA,NA,NA,298,NA
NA,NA,NA,298,NA
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,310
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
NA,NA,NA,NA,298
