"Antibodies_and_proteins","Virus","PEG","Amine","COOH","Chitosan"
104.85,NA,NA,NA,NA,NA
108.17,NA,NA,NA,NA,NA
131.28,NA,NA,NA,NA,NA
106.56,NA,NA,NA,NA,NA
76.66,NA,NA,NA,NA,NA
61.62,NA,NA,NA,NA,NA
80.07,NA,NA,NA,NA,NA
69.98,NA,NA,NA,NA,NA
38.7,NA,NA,NA,NA,NA
48.93,NA,NA,NA,NA,NA
25.8,NA,NA,NA,NA,NA
48.93,NA,NA,NA,NA,NA
18.24,NA,NA,NA,NA,NA
35.88,NA,NA,NA,NA,NA
29.77,NA,NA,NA,NA,NA
15.56,NA,NA,NA,NA,NA
10.09,NA,NA,NA,NA,NA
6.52,NA,NA,NA,NA,NA
NA,14.16,NA,NA,NA,NA
NA,9.77,NA,NA,NA,NA
NA,11.56,NA,NA,NA,NA
NA,0.0242,NA,NA,NA,NA
NA,0.25,NA,NA,NA,NA
NA,0.00075,NA,NA,NA,NA
NA,3.62,NA,NA,NA,NA
NA,2.94,NA,NA,NA,NA
NA,2.07,NA,NA,NA,NA
NA,1.82,NA,NA,NA,NA
NA,1.19,NA,NA,NA,NA
NA,0.66,NA,NA,NA,NA
NA,3.64,NA,NA,NA,NA
NA,3.14,NA,NA,NA,NA
NA,2.63,NA,NA,NA,NA
NA,2.54,NA,NA,NA,NA
NA,1.37,NA,NA,NA,NA
NA,0.74,NA,NA,NA,NA
NA,NA,0.00246,NA,NA,NA
NA,NA,0.45,NA,NA,NA
NA,NA,0.31021,NA,NA,NA
NA,NA,0.171,NA,NA,NA
NA,NA,0.182,NA,NA,NA
NA,NA,0.0961,NA,NA,NA
NA,NA,0.0552,NA,NA,NA
NA,NA,0.03623,NA,NA,NA
NA,NA,0.38518,NA,NA,NA
NA,NA,0.003641,NA,NA,NA
NA,NA,0.012744,NA,NA,NA
NA,NA,0.0238,NA,NA,NA
NA,NA,0.00674,NA,NA,NA
NA,NA,0.004281,NA,NA,NA
NA,NA,0.008594,NA,NA,NA
NA,NA,0.008873,NA,NA,NA
NA,NA,0.04,NA,NA,NA
NA,NA,0.041,NA,NA,NA
NA,NA,0.190729,NA,NA,NA
NA,NA,0.05464624,NA,NA,NA
NA,NA,0.00151,NA,NA,NA
NA,NA,NA,0.00321,NA,NA
NA,NA,NA,0.0131,NA,NA
NA,NA,NA,0.0336,NA,NA
NA,NA,NA,0.04689,NA,NA
NA,NA,NA,0.00144,NA,NA
NA,NA,NA,0.01778,NA,NA
NA,NA,NA,0.01833,NA,NA
NA,NA,NA,0.028,NA,NA
NA,NA,NA,NA,0.00013,NA
NA,NA,NA,NA,0.00127,NA
NA,NA,NA,NA,0.00028,NA
NA,NA,NA,NA,0.166,NA
NA,NA,NA,NA,0.1308,NA
NA,NA,NA,NA,0.089,NA
NA,NA,NA,NA,0.0436,NA
NA,NA,NA,NA,0.0228,NA
NA,NA,NA,NA,0.00258,NA
NA,NA,NA,NA,0.000207,NA
NA,NA,NA,NA,0.000127,NA
NA,NA,NA,NA,0.02758,NA
NA,NA,NA,NA,0.0119,NA
NA,NA,NA,NA,0.00565,NA
NA,NA,NA,NA,0.001163,NA
NA,NA,NA,NA,0.005707,NA
NA,NA,NA,NA,0.000796,NA
NA,NA,NA,NA,0.001274,NA
NA,NA,NA,NA,0.1636,NA
NA,NA,NA,NA,0.08225,NA
NA,NA,NA,NA,0.08225,NA
NA,NA,NA,NA,0.00238,NA
NA,NA,NA,NA,0.032,NA
NA,NA,NA,NA,0.013648,NA
NA,NA,NA,NA,0.001630625,NA
NA,NA,NA,NA,0.000985,NA
NA,NA,NA,NA,NA,0.000163
NA,NA,NA,NA,NA,0.000366
NA,NA,NA,NA,NA,0.001781
NA,NA,NA,NA,NA,0.001574
NA,NA,NA,NA,NA,0.002286
NA,NA,NA,NA,NA,0.001749
NA,NA,NA,NA,NA,0.000239
NA,NA,NA,NA,NA,0.002887
NA,NA,NA,NA,NA,0.003182
NA,NA,NA,NA,NA,0.000849
NA,NA,NA,NA,NA,0.000104
NA,NA,NA,NA,NA,8.4e-05
NA,NA,NA,NA,NA,3.1e-05
NA,NA,NA,NA,NA,3.2e-05
NA,NA,NA,NA,NA,0.046889
