"Antibodies_and_proteins","Virus","PEG","Amine","COOH","Chitosan"
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA
NA,1,NA,NA,NA,NA
NA,1,NA,NA,NA,NA
NA,0.649055232562634,NA,NA,NA,NA
NA,0.91,NA,NA,NA,NA
NA,0.29,NA,NA,NA,NA
NA,1.01,NA,NA,NA,NA
NA,0.93,NA,NA,NA,NA
NA,0.82,NA,NA,NA,NA
NA,0.82,NA,NA,NA,NA
NA,0.91,NA,NA,NA,NA
NA,0.86,NA,NA,NA,NA
NA,0.99,NA,NA,NA,NA
NA,0.99,NA,NA,NA,NA
NA,1.01,NA,NA,NA,NA
NA,1.02,NA,NA,NA,NA
NA,0.99,NA,NA,NA,NA
NA,0.89,NA,NA,NA,NA
NA,NA,0.31,NA,NA,NA
NA,NA,0.81,NA,NA,NA
NA,NA,0.89,NA,NA,NA
NA,NA,0.791947758686958,NA,NA,NA
NA,NA,0.796503743777565,NA,NA,NA
NA,NA,0.749834107611693,NA,NA,NA
NA,NA,0.709317081613688,NA,NA,NA
NA,NA,0.7,NA,NA,NA
NA,NA,0.91,NA,NA,NA
NA,NA,0.46,NA,NA,NA
NA,NA,0.73,NA,NA,NA
NA,NA,0.647837217972612,NA,NA,NA
NA,NA,0.555638644936519,NA,NA,NA
NA,NA,0.522469954840562,NA,NA,NA
NA,NA,0.573397205228072,NA,NA,NA
NA,NA,0.57573198813416,NA,NA,NA
NA,NA,0.685779482416615,NA,NA,NA
NA,NA,0.687583998387722,NA,NA,NA
NA,NA,0.88,NA,NA,NA
NA,NA,0.82,NA,NA,NA
NA,NA,0.59,NA,NA,NA
NA,NA,NA,0.501429311244281,NA,NA
NA,NA,NA,0.604203584921311,NA,NA
NA,NA,NA,0.673037879211692,NA,NA
NA,NA,NA,0.697393590147878,NA,NA
NA,NA,NA,0.442847004281299,NA,NA
NA,NA,NA,0.626526498518648,NA,NA
NA,NA,NA,0.628752843555139,NA,NA
NA,NA,NA,0.659713968673359,NA,NA
NA,NA,NA,NA,0.16,NA
NA,NA,NA,NA,0.36,NA
NA,NA,NA,NA,0.43,NA
NA,NA,NA,NA,0.85,NA
NA,NA,NA,NA,0.83,NA
NA,NA,NA,NA,0.79,NA
NA,NA,NA,NA,0.68,NA
NA,NA,NA,NA,0.63,NA
NA,NA,NA,NA,0.485462858782185,NA
NA,NA,NA,NA,0.301096802557363,NA
NA,NA,NA,NA,0.265395304220615,NA
NA,NA,NA,NA,0.658609476359719,NA
NA,NA,NA,NA,0.597182587845053,NA
NA,NA,NA,NA,0.542747156865107,NA
NA,NA,NA,NA,0.31,NA
NA,NA,NA,NA,0.5,NA
NA,NA,NA,NA,0.31,NA
NA,NA,NA,NA,0.41,NA
NA,NA,NA,NA,0.78871479900914,NA
NA,NA,NA,NA,0.738461091955516,NA
NA,NA,NA,NA,0.738461091955516,NA
NA,NA,NA,NA,0.479566179015747,NA
NA,NA,NA,NA,0.669472333842426,NA
NA,NA,NA,NA,0.68,NA
NA,NA,NA,NA,0.54,NA
NA,NA,NA,NA,0.54,NA
NA,NA,NA,NA,NA,0.28363317289459
NA,NA,NA,NA,NA,0.342745691919627
NA,NA,NA,NA,NA,0.458378661361713
NA,NA,NA,NA,NA,0.449349373468485
NA,NA,NA,NA,NA,0.476621312828335
NA,NA,NA,NA,NA,0.457053676693749
NA,NA,NA,NA,NA,0.311601552179408
NA,NA,NA,NA,NA,0.493679041912589
NA,NA,NA,NA,NA,0.500789063987939
NA,NA,NA,NA,NA,0.404236406380139
NA,NA,NA,NA,NA,0.250794361948478
NA,NA,NA,NA,NA,0.235186541042845
NA,NA,NA,NA,NA,0.162339048016001
NA,NA,NA,NA,NA,0.164659216971832
NA,NA,NA,NA,NA,0.697392031607401
