"MUC2","MUC5AC","MUC5B"
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
298,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
295,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
310,NA,NA
NA,310,NA
NA,310,NA
NA,310,NA
NA,310,NA
NA,310,NA
NA,310,NA
NA,310,NA
NA,310,NA
NA,298,NA
NA,298,NA
NA,298,NA
NA,298,NA
NA,298,NA
NA,298,NA
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,298
NA,NA,310
NA,NA,310
NA,NA,310
NA,NA,310
NA,NA,310
NA,NA,310
NA,NA,298
NA,NA,298
