"MUC2","MUC5AC","MUC5B"
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
6.5,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
3,NA,NA
7,NA,NA
7,NA,NA
7,NA,NA
7,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,7.2,NA
NA,7.2,NA
NA,7.2,NA
NA,7.2,NA
NA,7.2,NA
NA,7.2,NA
NA,7.2,NA
NA,7.2,NA
NA,7.4,NA
NA,7.4,NA
NA,7.4,NA
NA,7.4,NA
NA,7.4,NA
NA,7.4,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,7
NA,NA,4
