"Diameter","Diffusion_constant","Particle_type"
3.5,104.85,"Antibody"
3.8,108.17,"Antibody"
4.1,131.28,"Antibody"
4.5,106.56,"Antibody"
6,76.66,"Antibody"
5.4,61.62,"Antibody"
5.5,80.07,"Antibody"
6.1,69.98,"Antibody"
11,38.7,"Antibody"
11,48.93,"Antibody"
11,25.8,"Antibody"
11,48.93,"Antibody"
11,18.24,"Antibody"
12,35.88,"Antibody"
12,29.77,"Antibody"
16,15.56,"Antibody"
16,10.09,"Antibody"
18,6.52,"Antibody"
38,14.16,"Virus"
55,9.77,"Virus"
55,11.56,"Virus"
54,0.046889,"CHITOSAN"
20,0.166,"COOH"
40,0.1308,"COOH"
92,0.013648,"COOH"
99,0.190729,"PEG"
