"Diameter","alpha","Particle_type"
180,0.649055232562634,"Virus"
109.2,0.16,"COOH"
122.4,0.31,"PEG"
216.6,0.36,"COOH"
232.3,0.81,"PEG"
515,0.43,"COOH"
529.1,0.89,"PEG"
104,0.28363317289459,"CHITOSAN"
149,0.342745691919627,"CHITOSAN"
204,0.458378661361713,"CHITOSAN"
225,0.449349373468485,"CHITOSAN"
357,0.476621312828335,"CHITOSAN"
365,0.457053676693749,"CHITOSAN"
1244,0.311601552179408,"CHITOSAN"
334,0.493679041912589,"CHITOSAN"
144,0.500789063987939,"CHITOSAN"
104,0.404236406380139,"CHITOSAN"
180,0.250794361948478,"CHITOSAN"
293,0.235186541042845,"CHITOSAN"
359,0.162339048016001,"CHITOSAN"
373,0.164659216971832,"CHITOSAN"
54,0.697392031607401,"CHITOSAN"
20,0.85,"COOH"
40,0.83,"COOH"
100,0.79,"COOH"
200,0.68,"COOH"
500,0.63,"COOH"
100,0.485462858782185,"COOH"
200,0.301096802557363,"COOH"
500,0.265395304220615,"COOH"
100,0.658609476359719,"COOH"
200,0.597182587845053,"COOH"
217,0.542747156865107,"COOH"
200,0.791947758686958,"PEG"
200,0.796503743777565,"PEG"
500,0.749834107611693,"PEG"
500,0.709317081613688,"PEG"
217,0.31,"COOH"
217,0.5,"COOH"
213,0.7,"PEG"
213,0.91,"PEG"
515,0.31,"COOH"
515,0.41,"COOH"
515,0.46,"PEG"
515,0.73,"PEG"
200,0.78871479900914,"COOH"
200,0.738461091955516,"COOH"
200,0.738461091955516,"COOH"
1240,0.479566179015747,"COOH"
1060,0.647837217972612,"PEG"
1060,0.555638644936519,"PEG"
1060,0.522469954840562,"PEG"
1060,0.573397205228072,"PEG"
1280,0.57573198813416,"PEG"
1120,0.501429311244281,"AMINE"
1120,0.604203584921311,"AMINE"
1120,0.673037879211692,"AMINE"
1120,0.697393590147878,"AMINE"
1120,0.442847004281299,"AMINE"
1120,0.626526498518648,"AMINE"
1120,0.628752843555139,"AMINE"
1240,0.669472333842426,"COOH"
1060,0.685779482416615,"PEG"
1280,0.687583998387722,"PEG"
1120,0.659713968673359,"AMINE"
92,0.68,"COOH"
188,0.54,"COOH"
508,0.54,"COOH"
99,0.88,"PEG"
219,0.82,"PEG"
549,0.59,"PEG"
120,0.91,"Virus"
120,0.29,"Virus"
200,0.93,"Virus"
200,0.82,"Virus"
200,0.82,"Virus"
200,0.91,"Virus"
200,0.86,"Virus"
200,0.99,"Virus"
200,0.99,"Virus"
200,0.99,"Virus"
200,0.89,"Virus"
