"Human_cervix","Hydrogel","Pig_stomach","Human_lung","Pig_intestines"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
7,NA,NA,NA,NA
4,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,3,NA,NA
NA,NA,7,NA,NA
NA,NA,7,NA,NA
NA,NA,7,NA,NA
NA,NA,7,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.2,NA
NA,NA,NA,7.4,NA
NA,NA,NA,7.4,NA
NA,NA,NA,7.4,NA
NA,NA,NA,7.4,NA
NA,NA,NA,7.4,NA
NA,NA,NA,7.4,NA
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
NA,NA,NA,NA,6.5
