"Antibodies_and_proteins","Virus","PEG","Amine","COOH","Chitosan"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,-18.9052,NA,NA,NA,NA
NA,0.654046,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,-4.4,NA,NA,NA
NA,NA,-2.1,NA,NA,NA
NA,NA,-5.6,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,-1,NA,NA,NA
NA,NA,-1,NA,NA,NA
NA,NA,-4,NA,NA,NA
NA,NA,-4,NA,NA,NA
NA,NA,2.6,NA,NA,NA
NA,NA,2.6,NA,NA,NA
NA,NA,2.6,NA,NA,NA
NA,NA,2.6,NA,NA,NA
NA,NA,13.3,NA,NA,NA
NA,NA,-6.7,NA,NA,NA
NA,NA,-29.1,NA,NA,NA
NA,NA,-1,NA,NA,NA
NA,NA,-5,NA,NA,NA
NA,NA,-3,NA,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,33.3,NA,NA
NA,NA,NA,26.7,NA,NA
NA,NA,NA,NA,-41,NA
NA,NA,NA,NA,-58.8,NA
NA,NA,NA,NA,-61,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-59,NA
NA,NA,NA,NA,-59,NA
NA,NA,NA,NA,-61,NA
NA,NA,NA,NA,-61,NA
NA,NA,NA,NA,-2.1,NA
NA,NA,NA,NA,-2.1,NA
NA,NA,NA,NA,-2.1,NA
NA,NA,NA,NA,-21.6,NA
NA,NA,NA,NA,-37.2,NA
NA,NA,NA,NA,-50,NA
NA,NA,NA,NA,-54,NA
NA,NA,NA,NA,-73,NA
NA,NA,NA,NA,NA,-29.1
NA,NA,NA,NA,NA,-30.6
NA,NA,NA,NA,NA,-25
NA,NA,NA,NA,NA,-18.9
NA,NA,NA,NA,NA,-15.4
NA,NA,NA,NA,NA,-15.2
NA,NA,NA,NA,NA,-0.5
NA,NA,NA,NA,NA,1.1
NA,NA,NA,NA,NA,6
NA,NA,NA,NA,NA,14.3
NA,NA,NA,NA,NA,19.2
NA,NA,NA,NA,NA,19.5
NA,NA,NA,NA,NA,19.2
NA,NA,NA,NA,NA,19.5
NA,NA,NA,NA,NA,-8.3
