"MUC2","MUC5AC","MUC5B"
-29.1,NA,NA
-30.6,NA,NA
-25,NA,NA
-18.9,NA,NA
-15.4,NA,NA
-15.2,NA,NA
-0.5,NA,NA
1.1,NA,NA
6,NA,NA
14.3,NA,NA
19.2,NA,NA
19.5,NA,NA
19.2,NA,NA
19.5,NA,NA
-8.3,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-21.6,NA,NA
2.6,NA,NA
2.6,NA,NA
2.6,NA,NA
2.6,NA,NA
13.3,NA,NA
33.3,NA,NA
33.3,NA,NA
33.3,NA,NA
33.3,NA,NA
33.3,NA,NA
33.3,NA,NA
33.3,NA,NA
-37.2,NA,NA
-6.7,NA,NA
-29.1,NA,NA
26.7,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,-59,NA
NA,-59,NA
NA,-1,NA
NA,-1,NA
NA,-61,NA
NA,-61,NA
NA,-4,NA
NA,-4,NA
NA,-50,NA
NA,-54,NA
NA,-73,NA
NA,-1,NA
NA,-5,NA
NA,-3,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,-41
NA,NA,-4.4
NA,NA,-58.8
NA,NA,-2.1
NA,NA,-61
NA,NA,-5.6
NA,NA,-18.9052
NA,NA,0.654046
