"Zeta","Diffusion_constant","Particle_type"
1.1,0.002887,"CHITOSAN"
6,0.003182,"CHITOSAN"
14.3,0.000849,"CHITOSAN"
19.2,0.000104,"CHITOSAN"
19.5,8.4e-05,"CHITOSAN"
19.2,3.1e-05,"CHITOSAN"
19.5,3.2e-05,"CHITOSAN"
2.6,0.0238,"PEG"
2.6,0.00674,"PEG"
2.6,0.004281,"PEG"
2.6,0.008594,"PEG"
13.3,0.008873,"PEG"
33.3,0.00321,"AMINE"
33.3,0.0131,"AMINE"
33.3,0.0336,"AMINE"
33.3,0.04689,"AMINE"
33.3,0.00144,"AMINE"
33.3,0.01778,"AMINE"
33.3,0.01833,"AMINE"
26.7,0.028,"AMINE"
0.654046,0.00075,"Virus"
