"Zeta","alpha","Particle_type"
1.1,0.493679041912589,"CHITOSAN"
6,0.500789063987939,"CHITOSAN"
14.3,0.404236406380139,"CHITOSAN"
19.2,0.250794361948478,"CHITOSAN"
19.5,0.235186541042845,"CHITOSAN"
19.2,0.162339048016001,"CHITOSAN"
19.5,0.164659216971832,"CHITOSAN"
2.6,0.647837217972612,"PEG"
2.6,0.555638644936519,"PEG"
2.6,0.522469954840562,"PEG"
2.6,0.573397205228072,"PEG"
13.3,0.57573198813416,"PEG"
33.3,0.501429311244281,"AMINE"
33.3,0.604203584921311,"AMINE"
33.3,0.673037879211692,"AMINE"
33.3,0.697393590147878,"AMINE"
33.3,0.442847004281299,"AMINE"
33.3,0.626526498518648,"AMINE"
33.3,0.628752843555139,"AMINE"
26.7,0.659713968673359,"AMINE"
0.654046,0.29,"Virus"
