"Human_cervix","Hydrogel","Pig_stomach","Human_lung","Pig_intestines"
3.5,NA,NA,NA,NA
3.8,NA,NA,NA,NA
4.1,NA,NA,NA,NA
4.5,NA,NA,NA,NA
6,NA,NA,NA,NA
5.4,NA,NA,NA,NA
5.5,NA,NA,NA,NA
6.1,NA,NA,NA,NA
11,NA,NA,NA,NA
11,NA,NA,NA,NA
11,NA,NA,NA,NA
11,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
12,NA,NA,NA,NA
16,NA,NA,NA,NA
16,NA,NA,NA,NA
18,NA,NA,NA,NA
38,NA,NA,NA,NA
55,NA,NA,NA,NA
55,NA,NA,NA,NA
180,NA,NA,NA,NA
109.2,NA,NA,NA,NA
122.4,NA,NA,NA,NA
216.6,NA,NA,NA,NA
232.3,NA,NA,NA,NA
515,NA,NA,NA,NA
529.1,NA,NA,NA,NA
120,NA,NA,NA,NA
120,NA,NA,NA,NA
NA,200,NA,NA,NA
NA,200,NA,NA,NA
NA,200,NA,NA,NA
NA,NA,1240,NA,NA
NA,NA,1060,NA,NA
NA,NA,1060,NA,NA
NA,NA,1060,NA,NA
NA,NA,1060,NA,NA
NA,NA,1280,NA,NA
NA,NA,1120,NA,NA
NA,NA,1120,NA,NA
NA,NA,1120,NA,NA
NA,NA,1120,NA,NA
NA,NA,1120,NA,NA
NA,NA,1120,NA,NA
NA,NA,1120,NA,NA
NA,NA,1240,NA,NA
NA,NA,1060,NA,NA
NA,NA,1280,NA,NA
NA,NA,1120,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,200,NA,NA
NA,NA,NA,217,NA
NA,NA,NA,217,NA
NA,NA,NA,213,NA
NA,NA,NA,213,NA
NA,NA,NA,515,NA
NA,NA,NA,515,NA
NA,NA,NA,515,NA
NA,NA,NA,515,NA
NA,NA,NA,92,NA
NA,NA,NA,188,NA
NA,NA,NA,508,NA
NA,NA,NA,99,NA
NA,NA,NA,219,NA
NA,NA,NA,549,NA
NA,NA,NA,NA,104
NA,NA,NA,NA,149
NA,NA,NA,NA,204
NA,NA,NA,NA,225
NA,NA,NA,NA,357
NA,NA,NA,NA,365
NA,NA,NA,NA,1244
NA,NA,NA,NA,334
NA,NA,NA,NA,144
NA,NA,NA,NA,104
NA,NA,NA,NA,180
NA,NA,NA,NA,293
NA,NA,NA,NA,359
NA,NA,NA,NA,373
NA,NA,NA,NA,54
NA,NA,NA,NA,20
NA,NA,NA,NA,40
NA,NA,NA,NA,100
NA,NA,NA,NA,200
NA,NA,NA,NA,500
NA,NA,NA,NA,100
NA,NA,NA,NA,200
NA,NA,NA,NA,500
NA,NA,NA,NA,100
NA,NA,NA,NA,200
NA,NA,NA,NA,217
NA,NA,NA,NA,200
NA,NA,NA,NA,200
NA,NA,NA,NA,500
NA,NA,NA,NA,500
