"alpha","Diffusion_constant","Particle_type"
0.16,0.00013,"COOH"
0.31,0.00246,"PEG"
0.36,0.00127,"COOH"
0.81,0.45,"PEG"
0.43,0.00028,"COOH"
0.89,0.31021,"PEG"
0.85,0.166,"COOH"
0.83,0.1308,"COOH"
0.79,0.089,"COOH"
0.68,0.0436,"COOH"
0.63,0.0228,"COOH"
0.31,0.001163,"COOH"
0.5,0.005707,"COOH"
0.7,0.03623,"PEG"
0.91,0.38518,"PEG"
0.31,0.000796,"COOH"
0.41,0.001274,"COOH"
0.46,0.003641,"PEG"
0.73,0.012744,"PEG"
0.68,0.013648,"COOH"
0.54,0.001630625,"COOH"
0.54,0.000985,"COOH"
0.88,0.190729,"PEG"
0.82,0.05464624,"PEG"
0.59,0.00151,"PEG"
0.91,0.25,"Virus"
0.29,0.00075,"Virus"
1.01,3.62,"Virus"
0.93,2.94,"Virus"
0.82,2.07,"Virus"
0.82,1.82,"Virus"
0.91,1.19,"Virus"
0.86,0.66,"Virus"
0.99,3.64,"Virus"
0.99,3.14,"Virus"
1.01,2.63,"Virus"
1.02,2.54,"Virus"
0.99,1.37,"Virus"
0.89,0.74,"Virus"
