"Zeta","alpha","Particle_type","Data_type"
-41,0.16,"COOH","Experiment"
-4.4,0.31,"PEG","Experiment"
-58.8,0.36,"COOH","Experiment"
-2.1,0.81,"PEG","Experiment"
-61,0.43,"COOH","Experiment"
-5.6,0.89,"PEG","Experiment"
-29.1,0.28363317289459,"CHITOSAN","Prediction"
-30.6,0.342745691919627,"CHITOSAN","Prediction"
-25,0.458378661361713,"CHITOSAN","Prediction"
-18.9,0.449349373468485,"CHITOSAN","Prediction"
-15.4,0.476621312828335,"CHITOSAN","Prediction"
-15.2,0.457053676693749,"CHITOSAN","Prediction"
-0.5,0.311601552179408,"CHITOSAN","Prediction"
1.1,0.493679041912589,"CHITOSAN","Prediction"
6,0.500789063987939,"CHITOSAN","Prediction"
14.3,0.404236406380139,"CHITOSAN","Prediction"
19.2,0.250794361948478,"CHITOSAN","Prediction"
19.5,0.235186541042845,"CHITOSAN","Prediction"
19.2,0.162339048016001,"CHITOSAN","Prediction"
19.5,0.164659216971832,"CHITOSAN","Prediction"
-8.3,0.697392031607401,"CHITOSAN","Prediction"
-59,0.31,"COOH","Experiment"
-59,0.5,"COOH","Experiment"
-1,0.7,"PEG","Experiment"
-1,0.91,"PEG","Experiment"
-61,0.31,"COOH","Experiment"
-61,0.41,"COOH","Experiment"
-4,0.46,"PEG","Experiment"
-4,0.73,"PEG","Experiment"
-2.1,0.78871479900914,"COOH","Prediction"
-2.1,0.738461091955516,"COOH","Prediction"
-2.1,0.738461091955516,"COOH","Prediction"
-21.6,0.479566179015747,"COOH","Prediction"
2.6,0.647837217972612,"PEG","Prediction"
2.6,0.555638644936519,"PEG","Prediction"
2.6,0.522469954840562,"PEG","Prediction"
2.6,0.573397205228072,"PEG","Prediction"
13.3,0.57573198813416,"PEG","Prediction"
33.3,0.501429311244281,"AMINE","Prediction"
33.3,0.604203584921311,"AMINE","Prediction"
33.3,0.673037879211692,"AMINE","Prediction"
33.3,0.697393590147878,"AMINE","Prediction"
33.3,0.442847004281299,"AMINE","Prediction"
33.3,0.626526498518648,"AMINE","Prediction"
33.3,0.628752843555139,"AMINE","Prediction"
-37.2,0.669472333842426,"COOH","Prediction"
-6.7,0.685779482416615,"PEG","Prediction"
-29.1,0.687583998387722,"PEG","Prediction"
26.7,0.659713968673359,"AMINE","Prediction"
-50,0.68,"COOH","Experiment"
-54,0.54,"COOH","Experiment"
-73,0.54,"COOH","Experiment"
-1,0.88,"PEG","Experiment"
-5,0.82,"PEG","Experiment"
-3,0.59,"PEG","Experiment"
-18.9052,0.91,"Virus","Experiment"
0.654046,0.29,"Virus","Experiment"
