"Antibodies_and_proteins","Virus","PEG","Amine","COOH","Chitosan"
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
NA,298,NA,NA,NA,NA
NA,298,NA,NA,NA,NA
NA,298,NA,NA,NA,NA
NA,298,NA,NA,NA,NA
NA,298,NA,NA,NA,NA
NA,298,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,310,NA,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,310,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,295,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,298,NA,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,295,NA,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,310,NA
NA,NA,NA,NA,295,NA
NA,NA,NA,NA,295,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,298,NA
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
NA,NA,NA,NA,NA,310
