"MUC2","MUC5AC","MUC5B"
0.000163,NA,NA
0.000366,NA,NA
0.001781,NA,NA
0.001574,NA,NA
0.002286,NA,NA
0.001749,NA,NA
0.000239,NA,NA
0.002887,NA,NA
0.003182,NA,NA
0.000849,NA,NA
0.000104,NA,NA
8.4e-05,NA,NA
3.1e-05,NA,NA
3.2e-05,NA,NA
0.046889,NA,NA
0.166,NA,NA
0.1308,NA,NA
0.089,NA,NA
0.0436,NA,NA
0.0228,NA,NA
0.00258,NA,NA
0.000207,NA,NA
0.000127,NA,NA
0.02758,NA,NA
0.0119,NA,NA
0.00565,NA,NA
0.171,NA,NA
0.182,NA,NA
0.0961,NA,NA
0.0552,NA,NA
0.00238,NA,NA
0.0238,NA,NA
0.00674,NA,NA
0.004281,NA,NA
0.008594,NA,NA
0.008873,NA,NA
0.00321,NA,NA
0.0131,NA,NA
0.0336,NA,NA
0.04689,NA,NA
0.00144,NA,NA
0.01778,NA,NA
0.01833,NA,NA
0.032,NA,NA
0.04,NA,NA
0.041,NA,NA
0.028,NA,NA
3.62,NA,NA
2.94,NA,NA
2.07,NA,NA
1.82,NA,NA
1.19,NA,NA
0.66,NA,NA
3.64,NA,NA
3.14,NA,NA
2.63,NA,NA
2.54,NA,NA
1.37,NA,NA
0.74,NA,NA
NA,0.001163,NA
NA,0.005707,NA
NA,0.03623,NA
NA,0.38518,NA
NA,0.000796,NA
NA,0.001274,NA
NA,0.003641,NA
NA,0.012744,NA
NA,0.013648,NA
NA,0.001630625,NA
NA,0.000985,NA
NA,0.190729,NA
NA,0.05464624,NA
NA,0.00151,NA
NA,NA,104.85
NA,NA,108.17
NA,NA,131.28
NA,NA,106.56
NA,NA,76.66
NA,NA,61.62
NA,NA,80.07
NA,NA,69.98
NA,NA,38.7
NA,NA,48.93
NA,NA,25.8
NA,NA,48.93
NA,NA,18.24
NA,NA,35.88
NA,NA,29.77
NA,NA,15.56
NA,NA,10.09
NA,NA,6.52
NA,NA,14.16
NA,NA,9.77
NA,NA,11.56
NA,NA,0.0242
NA,NA,0.00013
NA,NA,0.00246
NA,NA,0.00127
NA,NA,0.45
NA,NA,0.00028
NA,NA,0.31021
NA,NA,0.25
NA,NA,0.00075
