"MUC2","MUC5AC","MUC5B"
104,NA,NA
149,NA,NA
204,NA,NA
225,NA,NA
357,NA,NA
365,NA,NA
1244,NA,NA
334,NA,NA
144,NA,NA
104,NA,NA
180,NA,NA
293,NA,NA
359,NA,NA
373,NA,NA
54,NA,NA
20,NA,NA
40,NA,NA
100,NA,NA
200,NA,NA
500,NA,NA
100,NA,NA
200,NA,NA
500,NA,NA
100,NA,NA
200,NA,NA
217,NA,NA
200,NA,NA
200,NA,NA
500,NA,NA
500,NA,NA
1240,NA,NA
1060,NA,NA
1060,NA,NA
1060,NA,NA
1060,NA,NA
1280,NA,NA
1120,NA,NA
1120,NA,NA
1120,NA,NA
1120,NA,NA
1120,NA,NA
1120,NA,NA
1120,NA,NA
1240,NA,NA
1060,NA,NA
1280,NA,NA
1120,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
200,NA,NA
NA,217,NA
NA,217,NA
NA,213,NA
NA,213,NA
NA,515,NA
NA,515,NA
NA,515,NA
NA,515,NA
NA,92,NA
NA,188,NA
NA,508,NA
NA,99,NA
NA,219,NA
NA,549,NA
NA,NA,3.5
NA,NA,3.8
NA,NA,4.1
NA,NA,4.5
NA,NA,6
NA,NA,5.4
NA,NA,5.5
NA,NA,6.1
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,12
NA,NA,12
NA,NA,16
NA,NA,16
NA,NA,18
NA,NA,38
NA,NA,55
NA,NA,55
NA,NA,180
NA,NA,109.2
NA,NA,122.4
NA,NA,216.6
NA,NA,232.3
NA,NA,515
NA,NA,529.1
NA,NA,120
NA,NA,120
