"alpha","Diffusion_constant","Particle_type"
NA,104.85,"Antibody"
NA,108.17,"Antibody"
NA,131.28,"Antibody"
NA,106.56,"Antibody"
NA,76.66,"Antibody"
NA,61.62,"Antibody"
NA,80.07,"Antibody"
NA,69.98,"Antibody"
NA,38.7,"Antibody"
NA,48.93,"Antibody"
NA,25.8,"Antibody"
NA,48.93,"Antibody"
NA,18.24,"Antibody"
NA,35.88,"Antibody"
NA,29.77,"Antibody"
NA,15.56,"Antibody"
NA,10.09,"Antibody"
NA,6.52,"Antibody"
NA,14.16,"Virus"
NA,9.77,"Virus"
NA,11.56,"Virus"
NA,0.0242,"Virus"
0.16,0.00013,"COOH"
0.31,0.00246,"PEG"
0.36,0.00127,"COOH"
0.81,0.45,"PEG"
0.43,0.00028,"COOH"
0.89,0.31021,"PEG"
NA,0.000163,"CHITOSAN"
NA,0.000366,"CHITOSAN"
NA,0.001781,"CHITOSAN"
NA,0.001574,"CHITOSAN"
NA,0.002286,"CHITOSAN"
NA,0.001749,"CHITOSAN"
NA,0.000239,"CHITOSAN"
NA,0.002887,"CHITOSAN"
NA,0.003182,"CHITOSAN"
NA,0.000849,"CHITOSAN"
NA,0.000104,"CHITOSAN"
NA,8.4e-05,"CHITOSAN"
NA,3.1e-05,"CHITOSAN"
NA,3.2e-05,"CHITOSAN"
NA,0.046889,"CHITOSAN"
0.85,0.166,"COOH"
0.83,0.1308,"COOH"
0.79,0.089,"COOH"
0.68,0.0436,"COOH"
0.63,0.0228,"COOH"
NA,0.00258,"COOH"
NA,0.000207,"COOH"
NA,0.000127,"COOH"
NA,0.02758,"COOH"
NA,0.0119,"COOH"
NA,0.00565,"COOH"
NA,0.171,"PEG"
NA,0.182,"PEG"
NA,0.0961,"PEG"
NA,0.0552,"PEG"
0.31,0.001163,"COOH"
0.5,0.005707,"COOH"
0.7,0.03623,"PEG"
0.91,0.38518,"PEG"
0.31,0.000796,"COOH"
0.41,0.001274,"COOH"
0.46,0.003641,"PEG"
0.73,0.012744,"PEG"
NA,0.1636,"COOH"
NA,0.08225,"COOH"
NA,0.08225,"COOH"
NA,0.00238,"COOH"
NA,0.0238,"PEG"
NA,0.00674,"PEG"
NA,0.004281,"PEG"
NA,0.008594,"PEG"
NA,0.008873,"PEG"
NA,0.00321,"AMINE"
NA,0.0131,"AMINE"
NA,0.0336,"AMINE"
NA,0.04689,"AMINE"
NA,0.00144,"AMINE"
NA,0.01778,"AMINE"
NA,0.01833,"AMINE"
NA,0.032,"COOH"
NA,0.04,"PEG"
NA,0.041,"PEG"
NA,0.028,"AMINE"
0.68,0.013648,"COOH"
0.54,0.001630625,"COOH"
0.54,0.000985,"COOH"
0.88,0.190729,"PEG"
0.82,0.05464624,"PEG"
0.59,0.00151,"PEG"
0.91,0.25,"Virus"
0.29,0.00075,"Virus"
1.01,3.62,"Virus"
0.93,2.94,"Virus"
0.82,2.07,"Virus"
0.82,1.82,"Virus"
0.91,1.19,"Virus"
0.86,0.66,"Virus"
0.99,3.64,"Virus"
0.99,3.14,"Virus"
1.01,2.63,"Virus"
1.02,2.54,"Virus"
0.99,1.37,"Virus"
0.89,0.74,"Virus"
